rank,feature_id,coef,abs_coef,mean_act_correct,mean_act_incorrect,pct_active_correct,pct_active_incorrect,delta_mean_act,description
1,2785,0.382707,0.382707,0.6436,0.1902,0.1814,0.0561,0.4534,segments related to mathematical formulas or expressions
2,14938,0.38059,0.38059,0.3764,0.1064,0.1078,0.0306,0.27,mathematical and logical relationships in text
3,13324,-0.313436,0.313436,0.1787,0.2572,0.049,0.0714,-0.0785,structured elements and references in programming or mathematical contexts
4,4128,-0.304179,0.304179,0.2843,0.2229,0.0784,0.0663,0.0614,sections related to analysis and career information
5,7554,-0.297448,0.297448,0.0323,0.2067,0.0098,0.0561,-0.1744,data related to statistical analysis and medical study results
6,14669,0.297045,0.297045,1.1614,0.7929,0.3235,0.2194,0.3685, statistical terms and numerical data related to analysis and conclusions
7,7144,-0.292641,0.292641,2.9542,3.2108,0.6373,0.7041,-0.2566,mathematical symbols and notations
8,797,-0.29125,0.29125,0.8117,1.2238,0.2304,0.3469,-0.4121, measurements and evaluations related to health and disease conditions
9,14798,-0.290255,0.290255,0.07,0.1943,0.0196,0.0561,-0.1243,terms related to court procedures and administrative actions
10,10488,-0.290206,0.290206,0.1192,0.3148,0.0294,0.0765,-0.1956,arguments and defenses related to a specific condition or situation
11,2696,-0.288942,0.288942,0.8554,1.7154,0.201,0.4031,-0.86,"references to funding, grants, and approval processes in research documents"
12,2620,0.280069,0.280069,5.907,5.412,0.9363,0.8724,0.495,"words associated with authority, control, and criticism of governance"
13,1485,0.26493,0.26493,0.3978,0.1372,0.1127,0.0408,0.2606,scientific and technical terms related to experimental results and measurements
14,3321,0.2618,0.2618,0.2011,0.0547,0.0588,0.0153,0.1464,elements related to legal terminology and concepts
15,987,0.261091,0.261091,1.1385,0.7914,0.3382,0.2296,0.3471,the start of a document or section
16,9886,-0.256628,0.256628,3.4783,4.1041,0.6373,0.7245,-0.6258, numerical data presented in statistical or mathematical context
17,12968,-0.251564,0.251564,0.33,0.4676,0.098,0.1327,-0.1376, decisions related to legal actions and their implications
18,5478,0.250612,0.250612,3.6374,3.7495,0.7108,0.7296,-0.1121, function calls and parameter assignments in programming code
19,2494,-0.250106,0.250106,0.467,0.7588,0.1225,0.2041,-0.2918,references to complex biological processes and structures
20,9792,0.249869,0.249869,1.6453,1.734,0.4314,0.4541,-0.0887," terms related to legal or procedural language, specifically in a judicial or legislative context"
